name,description,price,duration,create_date,last_update_date
Whiskey,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",83878128,362,2018-07-28 19:22:57,2018-07-28 19:22:57
Zulu Tango Juliett,Aenean lectus.,95684796,308,2018-09-26 16:49:02,2018-09-26 16:49:02
Delta Zulu,Pellentesque ultrices mattis odio.,96878575,257,2017-08-10 15:22:11,2017-08-10 15:22:11
Victor Hotel,Sed accumsan felis.,16643216,245,2017-07-03 08:44:23,2017-07-03 08:44:23
Whiskey Oscar Uniform,Morbi non lectus.,97410003,336,2017-10-05 00:48:02,2017-10-05 00:48:02
Golf Yankee,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",96133708,188,2021-12-19 11:29:24,2021-12-19 11:29:24
Lima,Duis aliquam convallis nunc.,2336899,73,2018-01-18 22:11:44,2018-01-18 22:11:44
Foxtrot India,Integer ac neque.,15265363,234,2019-09-08 03:31:06,2019-09-08 03:31:06
India Romeo Golf,Nunc rhoncus dui vel sem.,58448952,257,2017-12-16 20:00:50,2017-12-16 20:00:50
Echo Quebec,Nullam porttitor lacus at turpis.,11449533,182,2017-02-15 08:27:55,2017-02-15 08:27:55
Oscar Whiskey,Aliquam sit amet diam in magna bibendum imperdiet.,62075920,35,2020-04-25 15:47:36,2020-04-25 15:47:36
Delta,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",23666191,8,2017-12-16 21:07:49,2017-12-16 21:07:49
Hotel Lima,Suspendisse ornare consequat lectus.,74036495,253,2019-01-19 14:54:28,2019-01-19 14:54:28
Golf November Oscar,Duis consequat dui nec nisi volutpat eleifend.,60690597,42,2022-02-04 06:02:12,2022-02-04 06:02:12
Quebec,Morbi a ipsum.,33494141,298,2020-03-26 07:10:14,2020-03-26 07:10:14
Oscar Kilo,Suspendisse potenti.,83216801,297,2017-05-05 13:41:02,2017-05-05 13:41:02
Yankee Oscar Uniform,Donec ut mauris eget massa tempor convallis.,20089069,332,2019-03-09 00:24:06,2019-03-09 00:24:06
Delta,Morbi ut odio.,69093832,28,2019-04-09 05:45:22,2019-04-09 05:45:22
Bravo Echo,Vestibulum rutrum rutrum neque.,74175046,3,2021-10-22 19:30:35,2021-10-22 19:30:35
Yankee,Nulla mollis molestie lorem.,16352149,97,2021-11-30 02:36:52,2021-11-30 02:36:52
Bravo,Maecenas pulvinar lobortis est.,27047874,139,2018-05-11 12:05:04,2018-05-11 12:05:04
Uniform X-ray Delta,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",13642505,260,2019-05-20 10:55:54,2019-05-20 10:55:54
Mike Alfa Tango,Aliquam erat volutpat.,29018407,26,2019-09-04 23:39:19,2019-09-04 23:39:19
Quebec,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",92996114,59,2019-11-26 19:27:13,2019-11-26 19:27:13
Lima Tango Foxtrot,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",30790420,125,2018-08-28 04:19:09,2018-08-28 04:19:09
Kilo,Morbi vel lectus in quam fringilla rhoncus.,96669136,96,2020-01-01 08:09:50,2020-01-01 08:09:50
Victor,Cras pellentesque volutpat dui.,97518333,11,2018-10-13 01:11:34,2018-10-13 01:11:34
Victor Uniform Tango,Nam nulla.,27758250,275,2017-02-03 12:40:50,2017-02-03 12:40:50
Sierra,Vivamus vestibulum sagittis sapien.,33540629,110,2018-10-11 08:03:54,2018-10-11 08:03:54
Bravo,Duis bibendum.,89310731,69,2019-03-10 14:31:02,2019-03-10 14:31:02
Alfa Juliett,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",79370679,239,2021-01-13 13:25:13,2021-01-13 13:25:13
Hotel,Aenean auctor gravida sem.,9235232,78,2017-07-14 05:29:48,2017-07-14 05:29:48
Victor Hotel Juliett,Aenean sit amet justo.,30823664,42,2020-05-11 15:29:29,2020-05-11 15:29:29
Golf Yankee,Vivamus tortor.,47218560,347,2020-03-07 04:48:05,2020-03-07 04:48:05
Delta Sierra Golf,Nulla mollis molestie lorem.,5246846,97,2019-07-10 10:07:50,2019-07-10 10:07:50
X-ray Echo,Donec posuere metus vitae ipsum.,38025424,186,2019-01-23 16:16:11,2019-01-23 16:16:11
Golf,Nulla suscipit ligula in lacus.,48755748,223,2020-08-17 15:45:21,2020-08-17 15:45:21
Echo Romeo,Nulla suscipit ligula in lacus.,38924512,320,2020-10-20 04:19:54,2020-10-20 04:19:54
Victor,Quisque id justo sit amet sapien dignissim vestibulum.,65904364,132,2020-03-06 06:27:17,2020-03-06 06:27:17
Quebec Tango,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",58039397,49,2018-07-18 09:13:43,2018-07-18 09:13:43
Mike Golf India,Donec vitae nisi.,62730379,98,2017-08-17 04:06:07,2017-08-17 04:06:07
Echo November,Vivamus vel nulla eget eros elementum pellentesque.,13138902,282,2019-02-11 19:29:07,2019-02-11 19:29:07
Uniform,Donec dapibus.,25100761,193,2017-02-19 20:28:02,2017-02-19 20:28:02
Kilo Papa Romeo,Nullam sit amet turpis elementum ligula vehicula consequat.,52054500,105,2018-07-26 03:24:47,2018-07-26 03:24:47
Mike,In hac habitasse platea dictumst.,32895791,337,2021-07-25 21:00:08,2021-07-25 21:00:08
November,Nulla facilisi.,32154153,61,2020-04-26 02:11:32,2020-04-26 02:11:32
Oscar,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",68153258,319,2017-06-28 09:53:52,2017-06-28 09:53:52
